seller_id,orders,average_rating,negative_rate,one_star_rate,delivery_orders,avg_delivery_days,avg_delay_days,late_rate
36a968b544695394e4e9d7572688598f,154,3.638036809815951,24.539877300613497,20.245398773006134,148,10.72730394456957,-11.760874155405405,4.72972972972973
37515688008a7a40ac93e3b2e4ab203f,228,4.084033613445378,10.92436974789916,6.722689075630252,227,15.226597936041768,-7.221802343367597,10.13215859030837
376a891762bbdecbc02b4b6adec3fdda,57,4.672413793103448,1.7241379310344827,1.7241379310344827,57,12.221382594217024,-14.426882512995451,3.508771929824561
37be5a7c751166fbc5f8ccba4119e043,272,4.301418439716312,9.574468085106384,5.673758865248227,269,10.649036512116204,-12.758714417251825,2.6022304832713754
391fc6631aebcf3004804e51b40bcf1e,526,3.9533762057877815,16.559485530546624,12.057877813504824,521,14.415952139759721,-10.721452090886471,10.36468330134357
3b15288545f8928d3e65a8f949a28291,104,3.8536585365853657,18.69918699186992,17.073170731707318,101,14.45947733314998,-10.739406628162815,6.9306930693069315
3bdff180c7e1f6551a643b99c265a120,59,4.016666666666667,15.0,10.0,56,10.034405588624338,-12.130526620370372,5.357142857142857
3be634553519fb6536a03e1358e9fdc7,83,3.92,20.0,8.0,80,10.08215480324074,-9.988927806712962,8.75
3c7c4a49ec3c6550809089c6a2ca9370,141,3.68944099378882,27.95031055900621,22.36024844720497,139,9.574326622035704,-8.702542715827338,7.913669064748201
3d871de0142ce09b7081e2b9d1733cb1,1080,4.11443661971831,12.588028169014084,9.330985915492958,1064,13.510275428153717,-12.375561288203146,5.921052631578947
3db66a856d18a9cba7c9241fc5221c50,94,4.171717171717172,10.1010101010101,9.090909090909092,94,16.00484670508274,-11.121444912332544,11.702127659574469
3df020b72d3d44b3af9d110fa3940b65,55,3.9504950495049505,16.831683168316832,14.85148514851485,55,13.432020412457913,-10.466689393939394,12.727272727272727
41b39e28db005d9731d9d485a83b4c38,195,4.126050420168068,15.126050420168067,11.76470588235294,187,12.370251534957418,-17.322869999009704,6.417112299465241
42b729f859728f5079499127a9c2ef37,104,4.3538461538461535,9.230769230769232,8.461538461538462,103,7.848344570298454,-7.248024541531823,7.766990291262135
431af27f296bc6519d890aa5a05fdb11,117,3.784,24.8,18.4,116,17.234933449074074,-6.531787496008939,15.517241379310345
4371b634e0efc0e22b09b52907d9d469,102,4.405405405405405,9.00900900900901,7.207207207207207,101,11.118572951045104,-9.720521635496883,7.920792079207921
44073f8b7e41514de3b7815dd0237f4f,144,3.7565789473684212,20.394736842105264,17.105263157894736,142,13.152955301251957,-15.292007531298905,3.5211267605633805
440dd6ab244315c632130ecfb63827b1,94,3.851063829787234,15.957446808510639,13.829787234042554,91,16.616442434879936,-10.584755926943426,13.186813186813188
45d33f715e24d15a6ccf5c17b3a23e3c,59,4.049180327868853,13.114754098360656,13.114754098360656,56,11.551485615079367,-11.005964368386243,7.142857142857142
46dc3b2cc0980fb8ec44634e21d2718e,521,4.181308411214953,13.457943925233645,11.588785046728972,503,11.927641281938001,-11.406663100103085,6.560636182902585
48162d548f5b1b11b9d29d1e01f75a61,68,3.758241758241758,23.076923076923077,21.978021978021978,66,11.606531285072952,-12.634215768799102,3.0303030303030303
